Date,EGP=X
2023-05-22 11:25:03,30.9548
2023-05-23 11:07:03,30.9492
2023-05-24 10:57:03,30.901097
2023-05-25 10:54:03,30.953403
2023-05-26 11:14:03,30.898298
2023-05-27 11:17:03,30.883929
2023-05-28 11:14:03,30.883929
2023-05-29 11:24:03,30.894803
2023-05-30 10:55:03,30.915798
2023-05-31 10:55:03,30.898895
2023-06-01 11:00:04,30.900984
2023-06-02 11:02:03,30.89782
2023-06-03 10:56:03,30.846968
2023-06-04 10:46:03,30.846968
2023-06-05 11:26:03,30.899428
2023-06-06 11:03:03,30.901202
2023-06-07 10:56:03,30.901599
2023-06-08 11:14:03,30.893574
2023-06-09 11:25:03,30.948982
2023-06-10 11:27:03,30.90242
2023-06-11 10:52:03,30.90242
2023-06-12 12:02:03,30.8976
2023-06-13 11:23:03,30.906099
2023-06-14 11:36:04,30.903799
2023-06-15 10:58:03,30.892594
2023-06-16 11:02:03,30.898801
2023-06-17 10:58:03,30.813916
2023-06-18 10:43:03,30.813916
2023-06-19 11:18:03,30.900202
2023-06-20 10:42:03,30.898398
2023-06-21 10:57:04,30.9515
2023-06-22 10:36:04,30.901799
2023-06-23 10:49:03,30.896803
2023-06-24 10:52:03,30.774084
2023-06-25 10:17:03,30.774084
2023-06-26 11:17:04,30.900198
2023-06-27 10:54:04,30.892802
2023-06-29 10:27:03,30.898701
2023-06-30 10:54:03,30.903398
2023-07-01 11:01:03,30.867396
2023-07-02 10:26:03,30.867396
2023-07-03 10:58:04,30.896623
2023-07-04 10:33:03,30.950399
2023-07-05 10:38:04,30.898902
2023-07-06 10:26:02,30.961662
2023-07-07 10:33:02,30.891496
2023-07-08 10:59:03,30.660715
2023-07-09 10:35:03,30.660715
2023-07-10 11:10:04,30.899596
2023-07-11 10:43:03,30.900095
2023-07-12 10:58:03,30.948702
2023-07-13 10:46:03,30.898501
2023-07-14 11:04:03,30.900603
2023-07-15 10:58:04,30.84678
2023-07-16 10:13:03,30.84678
2023-07-17 10:53:04,30.897972
2023-07-18 11:09:04,30.897405
2023-07-19 10:27:04,30.90338
2023-07-20 10:24:03,30.803101
2023-07-21 10:43:03,30.802281
2023-07-22 10:38:03,30.77925
2023-07-23 10:33:03,30.77925
2023-07-24 10:43:04,30.8991
2023-07-25 10:35:04,30.924102
2023-07-26 10:31:03,30.89695
2023-07-27 10:21:03,30.947403
2023-07-28 10:16:03,30.893799
2023-07-30 10:12:04,30.841299
2023-07-31 10:32:03,30.951596
2023-08-01 10:25:03,30.900198
2023-08-02 10:18:03,30.930972
2023-08-03 10:19:03,30.802005
2023-08-04 10:18:03,30.957498
2023-08-05 10:34:03,30.719811
2023-08-06 10:09:03,30.719811
2023-08-07 10:34:03,30.7996
2023-08-08 10:37:03,30.923969
2023-08-09 10:14:04,30.906374
2023-08-10 10:31:03,30.899397
2023-08-11 10:13:03,30.898298
2023-08-12 10:26:03,30.981714
2023-08-13 10:16:03,30.981714
2023-08-14 10:21:03,30.895229
2023-08-15 10:14:03,30.893404
2023-08-16 10:17:03,30.952099
2023-08-17 10:02:04,30.795401
2023-08-18 09:57:03,30.907198
2023-08-19 10:12:03,30.841482
2023-08-20 10:13:03,30.819171
2023-08-21 10:03:04,30.899502
2023-08-22 10:19:04,30.911601
2023-08-23 10:16:03,30.900598
2023-08-24 10:08:03,30.900397
2023-08-25 10:00:03,30.901698
2023-08-26 10:02:03,30.91789
2023-08-27 10:02:04,30.91789
2023-08-28 09:57:04,30.899401
2023-08-29 10:07:03,30.907981
2023-08-30 10:01:03,30.805759
2023-08-31 10:12:03,30.901199
2023-09-01 09:42:03,30.890504
2023-09-02 10:13:03,31.038759
2023-09-03 10:08:03,30.842325
2023-09-04 10:08:03,30.94937
2023-09-05 10:03:03,30.9252
2023-09-06 10:07:03,30.897017
2023-09-07 09:50:04,30.908597
2023-09-08 09:28:04,30.899901
2023-09-09 09:22:03,30.835861
2023-09-10 09:37:03,30.862557
2023-09-11 09:43:03,30.896803
2023-09-12 09:40:03,30.926495
2023-09-13 09:31:03,30.901399
2023-09-14 09:40:03,30.934897
2023-09-15 09:08:03,30.952502
2023-09-16 09:29:03,30.899892
2023-09-17 09:31:02,30.899892
2023-09-18 09:26:03,30.924501
2023-09-19 09:31:04,30.898051
2023-09-20 09:29:03,30.926598
2023-09-21 09:23:03,30.900968
2023-09-22 09:07:03,30.898402
2023-09-23 09:20:03,30.836183
2023-09-24 09:21:03,30.789994
2023-09-25 09:22:03,30.949695
2023-09-26 09:14:02,30.899301
2023-09-27 09:11:02,30.902697
2023-09-28 08:57:03,30.897297
2023-09-29 08:44:03,30.899506
2023-09-30 08:52:03,30.966419
2023-10-01 08:52:03,30.966419
2023-10-02 08:52:03,30.948398
2023-10-03 08:47:03,30.901699
2023-10-04 08:53:03,30.923797
2023-10-05 08:42:04,30.7976
2023-10-06 08:43:03,30.795604
2023-10-07 08:37:03,30.662014
2023-10-08 08:32:03,30.662014
2023-10-09 09:14:03,30.901197
2023-10-10 09:08:02,30.951901
2023-10-11 08:50:03,30.946901
2023-10-12 08:49:03,30.944702
2023-10-13 09:56:03,30.899201
2023-10-14 09:09:03,30.913207
2023-10-15 08:45:04,30.880297
2023-10-16 08:45:04,30.899017
2023-10-17 08:28:03,30.904396
2023-10-18 08:37:03,30.951996
2023-10-19 10:05:03,30.896403
2023-10-20 08:38:03,30.900692
2023-10-21 08:44:04,30.843887
2023-10-22 08:29:02,30.864256
2023-10-23 08:50:03,30.898303
2023-10-24 08:31:03,30.897606
2023-10-25 08:27:03,30.889513
2023-10-26 09:49:03,30.929869
2023-10-27 08:40:03,30.897512
2023-10-28 10:29:03,30.855901
2023-10-29 08:08:02,30.831325
2023-10-30 08:44:03,30.899805
2023-10-31 08:21:03,30.93091
2023-11-01 08:43:02,30.901204
2023-11-02 08:19:03,30.896381
2023-11-03 08:47:14,30.896436
2023-11-04 08:36:03,30.64667
2023-11-05 08:21:02,30.64667
2023-11-06 08:48:03,30.899893
2023-11-07 08:32:03,30.923902
2023-11-08 08:43:03,30.932007
2023-11-09 08:38:03,30.89399
2023-11-10 09:00:04,30.902702
2023-11-11 08:55:03,30.788951
2023-11-12 08:36:02,30.788951
2023-11-13 09:19:02,30.949297
2023-11-14 09:02:03,30.900695
2023-11-15 08:50:04,30.902402
2023-11-16 08:22:03,30.891611
2023-11-17 08:47:03,30.922008
2023-11-18 08:45:02,30.774211
2023-11-19 08:22:03,30.774211
2023-11-20 08:52:03,30.905019
2023-11-21 08:38:03,30.903603
2023-11-22 08:27:03,30.939845
2023-11-23 08:38:03,30.905103
2023-11-24 08:38:03,30.888675
2023-11-25 08:27:03,30.959317
2023-11-26 08:12:04,30.79768
2023-11-27 08:59:03,30.901706
2023-11-28 08:58:02,30.901399
2023-11-29 08:24:03,30.900503
2023-11-30 08:18:04,30.897797
2023-12-02 08:15:02,31.008307
2023-12-03 11:25:03,30.908532
2023-12-04 08:41:03,30.899798
2023-12-05 09:53:02,30.951989
2023-12-06 09:56:04,30.928901
2023-12-07 08:21:03,30.898696
2023-12-08 08:51:02,30.900502
2023-12-09 08:46:02,30.926533
2023-12-10 08:36:03,30.926533
2023-12-11 09:01:04,30.904055
2023-12-12 09:09:03,30.9276
2023-12-13 08:38:03,30.8999
2023-12-14 08:41:04,30.902602
2023-12-15 09:20:03,30.919099
2023-12-16 08:23:04,30.883175
2023-12-17 08:08:03,30.883175
2023-12-18 08:44:03,30.922296
2023-12-19 08:19:04,30.898302
2023-12-20 08:20:03,30.901397
2023-12-21 08:27:03,30.951499
2023-12-22 08:33:02,30.896096
2023-12-23 08:34:03,30.84652
2023-12-24 08:14:03,30.84652
2023-12-25 08:41:04,30.890701
2023-12-26 09:02:03,30.889237
2023-12-27 08:27:02,30.900802
2023-12-28 08:37:03,30.895599
2023-12-29 08:22:03,30.932798
2023-12-30 08:17:03,30.859753
2023-12-31 08:02:03,30.980055
2024-01-01 08:48:04,30.991268
2024-01-02 08:53:04,30.9038
2024-01-03 08:25:04,30.904401
2024-01-04 08:42:03,30.952704
2024-01-05 08:30:04,30.8043
2024-01-06 08:38:03,30.67564
2024-01-07 08:08:03,30.756947
2024-01-08 09:04:03,30.9005
2024-01-09 08:28:03,30.899601
2024-01-10 08:52:03,30.902702
2024-01-11 08:34:04,30.902201
2024-01-12 08:30:03,30.902303
2024-01-13 08:49:04,30.855593
2024-01-14 08:44:03,30.858602
2024-01-15 08:54:04,30.901098
2024-01-16 08:25:02,30.902403
2024-01-17 08:21:03,30.902601
2024-01-18 08:31:02,30.902201
2024-01-19 08:26:04,30.908301
